Shops:,Shop Address:,Shop Website:
Hollymead town Center,"163 Community Street Charlottesville, Virginia 22911",https://www.shopcore.com/property/hollymead-town-center
Integral Yoga and Natural Foods,"923-H Preston Ave Charlottesville, Virginia 22903",https://www.iyfoods.com/
Ivy Nursery Inc,"570 Broomley Rd Charlottesville, Virginia 22901",http://www.ivynursery.com/
J. Fenton Too,"114 East Main Street Charlottesville, Virginia 22902",https://www.quiltsunlimited.com/stores/jfentontoo/
Jean Theory,"101 W Water St. Charlottesville, Virginia 22902",https://www.jeantheory.com/
Jefferson Coin Shop,"255 Albemarle Square Charlottesville, Virginia 22901",http://www.jeffersoncoinshop.com/
Kank's Store,"245 Granite Spring Rd, North Chesterfield, VA 23225",https://kanks-store.com/
Kenny Ball Antiques,"2415 Ivy Road Suite 100 Charlottesville, Virginia 22903",http://www.kennyballantiques.com/
Low Vintage,"105 5th St. SE Charlottesville, Virginia 22902",https://www.instagram.com/low_vintage/?hl=en
Lynne Goldman Elements,"407 E. Main Street, Suite A Charlottesville, Virginia 22902",https://www.lynnegoldmanelements.com/
Magpie Knits,"111 W. Main St. Charlottesville, Virginia 22902",https://www.magpieknits.com/
Market Street Market,"400 E. Market Street Charlottesville, Virginia 22902",http://www.marketstreetmarket.net/
Melody Supreme,"115 4th Street SE Charlottesville, Virginia 22902",https://cvillemelodysupreme.com/
Michie Tavern ca. 1784,"683 Thomas Jefferson Parkway Charlottesville, Virginia 22902",https://www.michietavern.com/
Mirabelle Antiques,"Free Union, Virginia 22940",https://mirabelleantiques.com/
New Dominion Bookshop,"404 E Main Street Charlottesville, Virginia 22902",https://ndbookshop.com/
O'Suzannah,"320 East Main Street Charlottesville, Virginia 22902",https://osuzcville.com/
Oyster House Antiques,"122 East Main St. Charlottesville, Virginia 22902",https://oysterhouse.com/
Pantops Shoping Center,"Charlottesville, Virginia 22905",http://shopatpantops.com/
Pawprints Boutique,"201 East Main Street, Suite B Charlottesville, Virginia 22902",https://pawprintsboutique.com/
Peace Frogs Travels/Outfitters,"1043 Millmont Street Charlottesville, Virginia 22903",http://www.peacefrogstravel.com/
Piedmont Place,"2025 Library Avenue Crozet, Virginia 22932",https://www.vaguesthouses.com/piedmont-place-suites
Plan 9 Music,"339 Hillsdale Drive Charlottesville, Virginia 22901",https://plan9music.com/
PoppyPointe,"1747 Allied Street, Suite J Charlottesville, Virginia 22903",https://poppypointe.com/
Pour la Maison,"2214 Ivy Road Suite 103 Charlottesville, Virginia 22903",https://www.pourlamaisoncville.com/
Quattro Tizi,"946 Grady Avenue Charlottesville, Virginia 22903",https://quattrotizi.com/
Ragged Mountain Running and Walking Shop,"3 Elliewood Avenue Charlottesville, Virginia 22903",http://www.raggedmountainrunning.com/
Renee's Boutique,"1831 Seminole Trail, Woodbrook Shopping Center Charlottesville, Virginia 22901",https://reneesboutiquellc.com/
Rock Paper Scissors,"321 E Main St Charlottesville, Virginia 22902",https://www.thinkrockpaperscissors.com/
Scarpa,"2114 Barracks Road Charlottesville, Virginia 22903",https://thinkscarpa.com/
Scottsville Supply Company,"492 Valley Street Scottsville, Virginia 24590",https://www.scottsvillesupplyco.com/
Seminole Square Shopping Center,"Charlottesville, Virginia 22902",http://shopatseminolesquare.com/
The Shade Shop,"2415 Ivy Road, Suite 150 Charlottesville, Virginia 22903",http://www.theshadeshop.com/
Shenaigns,"601 West Main Street Charlottesville, Virginia 22903",https://shenanigans.toys/
The Shops at Stonefield,"2100 Hydraulic Road Route 29 North & Hydraulic Road Charlottesville, Virginia 22901",https://www.shopsatstonefield.com/
Sidetracks Music,"310 2nd Street SE, Unit A Charlottesville, Virginia 22902",https://sidetracksmusic.net/
Snow's Garden Center,"1875 Avon Street Extended Charlottesville, Virginia 22902",http://www.snowknows.com/
Spring Street Boutique,"1043 Emmett Street N Charlottesville, Virginia 22903",https://www.springstreetboutique.com/
Timberlake's Drug Store,"322 E Main Street Charlottesville, Virginia 22902",https://www.facebook.com/timberlakesdrugstore/
Trader Joe's,"2025 Bond Street Charlottesville, Virginia 22901",http://www.traderjoes.com/
Tuel Jewelers,"319 East Main Street Charlottesville, Virginia 22902",https://www.tueljewelers.com/
Twice is Nice,"923 Preston Avenue Charlottesville, Virginia 22903",https://www.twiceisnicestore.org/
UVA Bookstore,"400 Emmet Street South Charlottesville, Virginia 22904",https://uvabookstores.com/
The Virginia Shop,"1047-B N. Emmet St. Charlottesville, Virginia 22903",http://www.thevashop.net/
We Grow,"410 Valley St Scottsville, Virginia 24590",https://wegrowshopva.com/
Whole Foods Market,"1797 Hydraulic Road Charlottesville, Virginia 22901",http://wholefoodsmarket.com/stores/charlottesville/
Wild Birds Unlimited,"810 Twentyninth Place Court Charlottesville, Virginia 22901",http://charlottesville.wbu.com/
Wilder,"1718 Allied St, McIntire Plaza Charlottesville, Virginia 22903",https://www.wildercville.com/
